Decimel Year,Year,Month,Day,Hour,Minute,CO (ppb),CO2 (ppm),COS (ppt)
2019.009859,2019,1,4,14,21,215.5,448.0,459.4
2019.009916,2019,1,4,14,51,200.5,442.2,458.0
2019.009973,2019,1,4,15,21,225.6,440.7,459.3
2019.01003,2019,1,4,15,51,244.4,446.6,453.3
2019.010087,2019,1,4,16,21,272.2,453.7,461.6
2019.010144,2019,1,4,16,51,483.2,470.0,460.7
2019.010201,2019,1,4,17,21,544.1,491.0,456.7
2019.010258,2019,1,4,17,51,511.2,493.7,453.2
2019.010315,2019,1,4,18,21,363.8,474.7,453.8
2019.010372,2019,1,4,18,51,362.7,473.0,450.7
2019.010429,2019,1,4,19,21,421.7,484.8,445.0
2019.010487,2019,1,4,19,51,461.1,494.6,443.5
2019.010544,2019,1,4,20,21,477.8,505.8,440.2
2019.010601,2019,1,4,20,51,437.4,498.8,437.6
2019.010658,2019,1,4,21,21,403.9,487.2,437.3
2019.010715,2019,1,4,21,51,405.1,488.5,437.7
2019.010772,2019,1,4,22,21,411.4,486.4,439.3
2019.010829,2019,1,4,22,51,449.9,489.2,438.1
2019.010886,2019,1,4,23,21,398.8,490.9,437.5
2019.010943,2019,1,4,23,51,453.2,489.2,439.4
2019.011,2019,1,5,0,21,423.9,491.5,438.2
2019.011057,2019,1,5,0,51,393.8,491.0,438.7
2019.011114,2019,1,5,1,21,374.9,485.2,439.9
2019.011172,2019,1,5,1,51,342.8,483.6,438.4
2019.011229,2019,1,5,2,21,363.7,487.3,437.7
2019.011286,2019,1,5,2,51,331.6,486.3,440.1
2019.011343,2019,1,5,3,21,429.8,500.3,437.4
2019.0114,2019,1,5,3,51,380.7,498.2,435.9
2019.011457,2019,1,5,4,21,465.6,495.7,437.1
2019.011514,2019,1,5,4,51,389.8,497.2,435.5
2019.011571,2019,1,5,5,21,495.3,521.1,433.0
2019.011628,2019,1,5,5,51,414.5,502.4,428.3
2019.011685,2019,1,5,6,21,431.1,497.6,427.7
2019.011742,2019,1,5,6,51,473.1,514.1,427.8
2019.011799,2019,1,5,7,21,511.7,516.6,425.5
2019.011856,2019,1,5,7,51,441.1,506.6,426.2
2019.011913,2019,1,5,8,21,414.7,491.3,426.2
2019.011971,2019,1,5,8,51,312.4,473.8,429.9
2019.012028,2019,1,5,9,21,265.5,467.8,432.9
2019.012085,2019,1,5,9,51,269.6,465.4,435.0
2019.012142,2019,1,5,10,21,251.5,460.2,443.2
2019.012199,2019,1,5,10,51,231.9,456.1,447.5
2019.012256,2019,1,5,11,21,216.1,454.5,448.2
2019.012313,2019,1,5,11,51,215.9,454.4,451.2
2019.01237,2019,1,5,12,21,216.1,456.3,450.8
2019.012427,2019,1,5,12,51,212.1,455.5,452.9
2019.012484,2019,1,5,13,21,199.3,450.5,457.8
2019.012541,2019,1,5,13,51,211.1,447.1,458.5
2019.012598,2019,1,5,14,21,186.8,441.2,464.3
2019.012656,2019,1,5,14,51,215.6,442.8,464.6
2019.012713,2019,1,5,15,21,184.3,441.3,464.2
2019.01277,2019,1,5,15,51,190.2,442.6,462.3
2019.012827,2019,1,5,16,21,227.2,447.4,460.5
2019.012884,2019,1,5,16,51,413.7,455.8,458.3
2019.012941,2019,1,5,17,21,387.1,462.4,455.2
2019.012998,2019,1,5,17,51,391.4,464.9,456.6
2019.013055,2019,1,5,18,21,270.0,459.0,451.2
2019.013112,2019,1,5,18,51,243.0,458.5,448.7
2019.013169,2019,1,5,19,21,261.0,459.8,447.5
2019.013226,2019,1,5,19,51,251.4,460.6,446.2
2019.013283,2019,1,5,20,21,264.7,461.7,445.3
2019.01334,2019,1,5,20,51,251.0,462.3,443.5
2019.013398,2019,1,5,21,21,282.2,470.3,443.7
2019.013455,2019,1,5,21,51,290.5,471.1,448.4
2019.013512,2019,1,5,22,21,228.0,457.7,452.3
2019.013569,2019,1,5,22,51,265.2,457.5,452.5
2019.013626,2019,1,5,23,21,330.7,465.3,450.4
2019.013683,2019,1,5,23,51,345.1,476.4,451.0
2019.01374,2019,1,6,0,21,366.5,481.8,452.8
2019.013797,2019,1,6,0,51,320.6,473.1,452.6
2019.013854,2019,1,6,1,21,264.1,463.8,457.2
2019.013911,2019,1,6,1,51,155.6,441.3,462.3
2019.013968,2019,1,6,2,21,143.6,438.3,462.3
2019.014025,2019,1,6,2,51,142.6,437.4,462.4
2019.014082,2019,1,6,3,21,143.5,438.6,460.3
2019.01414,2019,1,6,3,51,144.4,438.6,458.0
2019.014197,2019,1,6,4,21,139.3,436.8,454.9
2019.014254,2019,1,6,4,51,136.3,434.9,455.2
2019.014311,2019,1,6,5,21,139.0,436.9,454.4
2019.014368,2019,1,6,5,51,139.8,435.3,454.6
