,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1
,,,,Sensitivities (nA/ppm),,,,,,,Izero(nA @ 10C),,,,,,,Izero(nA @ 20C),,,,,,,Izero(nA @ 40C),,,,,,,A (nA),,,,,,,1/m (T),,,,,,,SO2,,,,,,,H2S,,,,,,,O3,,,,,,,NO2,,,,,,,CO,,,,,,
Ship Date,Test Date,B.A.D.,Board B.C.,IRR,IAQ,SO2,H2S,OZO,NO2,CMO,IRR,IAQ,SO2,H2S,OZO,NO2,CMO,IRR,IAQ,SO2,H2S,OZO,NO2,CMO,IRR,IAQ,SO2,H2S,OZO,NO2,CMO,IRR,IAQ,SO2,H2S,OZO,NO2,CMO,IRR,IAQ,SO2,H2S,OZO,NO2,CMO,IRR,IAQ,SO2,H2S,OZO,NO2,CMO,IRR,IAQ,SO2,H2S,OZO,NO2,CMO,IRR,IAQ,SO2,H2S,OZO,NO2,CMO,IRR,IAQ,SO2,H2S,OZO,NO2,CMO,IRR,IAQ,SO2,H2S,OZO,NO2,CMO
60117,51917,04A3E2BD29,,41.80,4.25,9.98,227.12,22.23,21.38,8.17,0.751,7.458,1.682,5.038,0.289,0.556,2.727,0.734,15.668,3.255,10.300,0.243,0.777,5.340,3.490,65.001,11.468,41.823,0.426,2.077,24.598,0.318,2.849,0.802,2.036,0.228,0.114,1.198,17.66,12.76,15.02,13.12,75.64,14.70,13.35,-0.3709,0.6719,1.0000,0.1260,-0.0051,-0.0066,0.0319,-2.0579,2.4508,5.0857,1.0000,-0.0172,-0.0043,-0.0328,0.2632,-0.1661,-0.4753,-0.0870,1.0000,0.0669,-0.0057,1.0000,-0.0632,-1.4917,-0.0326,2.2959,1.0000,-0.0020,0.0132,1.0000,0.0221,0.0019,0.0002,-0.0005,1.0000
60117,51917,04A3E2BE77,,39.84,7.95,9.22,249.89,22.06,17.62,8.19,0.517,7.461,1.554,6.009,0.413,0.474,3.150,0.680,15.369,2.969,11.957,0.389,0.433,6.248,3.842,65.198,11.353,46.113,1.082,1.116,31.274,0.306,2.708,0.709,2.796,0.340,0.359,1.360,18.46,12.59,14.32,14.16,52.48,87.81,12.90,-0.3910,0.7449,1.0000,0.1141,-0.0034,0.0236,-0.0815,-1.8341,2.7647,5.4289,1.0000,-0.0350,-0.0201,-0.0105,0.2346,-0.2947,-0.5077,-0.0847,1.0000,0.0459,-0.0126,1.0000,0.0076,-1.5083,-0.0379,2.4498,1.0000,0.0336,0.0128,1.0000,0.0123,0.0014,0.0003,-0.0005,1.0000
60117,51917,04A3E2DE81,,43.03,19.10,10.80,238.44,32.73,26.15,8.77,2.258,19.387,1.896,5.139,1.608,0.312,6.090,3.840,44.871,3.425,10.555,2.520,0.401,13.025,17.751,213.008,13.339,44.364,4.625,1.787,62.256,1.444,8.320,0.668,2.279,1.325,0.102,2.603,17.22,12.24,12.99,13.44,35.84,15.46,12.68,-0.3109,0.8380,1.0000,0.1189,0.0006,-0.0013,0.0161,-2.0946,3.3376,4.4231,1.0000,-0.0321,-0.0161,0.0210,0.5049,-0.3492,-0.4647,-0.0870,1.0000,-0.0003,0.0215,1.0000,-0.0328,-1.1511,-0.0482,1.9210,1.0000,0.0067,-0.0020,1.0000,0.0173,0.0017,-0.0004,-0.0003,1.0000
60117,51917,5410EC3799B3,,48.55,19.80,10.57,239.27,26.71,19.12,7.80,1.808,19.374,1.295,4.174,0.989,0.378,4.550,2.817,45.338,2.677,9.094,1.585,0.415,10.674,11.817,247.696,11.431,41.301,4.161,0.877,52.915,1.135,7.746,0.473,1.698,0.740,0.137,1.933,18.36,11.54,12.36,12.48,27.72,22.12,12.04,-0.3551,0.8264,1.0000,0.1194,-0.0244,0.0165,-0.0463,-2.2293,3.0803,4.8535,1.0000,-0.0294,-0.0012,0.0204,0.5122,-0.3687,-0.4398,-0.0857,1.0000,-0.0112,0.0054,1.0000,0.0524,-1.5122,-0.0418,2.0427,1.0000,-0.0209,-0.0009,1.0000,0.0139,0.0015,-0.0002,0.0006,1.0000
60117,51917,5410EC379AC0,,37.73,11.74,10.83,234.85,33.04,19.01,8.04,1.022,14.875,1.555,4.830,0.414,0.389,3.849,2.159,34.296,3.180,10.238,0.462,0.480,9.223,9.382,193.679,12.347,45.203,3.847,0.544,45.922,0.519,5.778,0.510,2.129,0.241,0.258,1.631,14.40,11.36,12.17,13.07,18.31,108.92,11.95,-0.2353,0.8092,1.0000,0.1271,0.0033,-0.0027,0.0136,-2.2838,2.9937,4.5599,1.0000,-0.0104,-0.0149,0.0221,0.5252,-0.3825,-0.5042,-0.0917,1.0000,-0.0116,0.0445,1.0000,0.1068,-1.3460,-0.0294,1.8723,1.0000,0.0721,0.0000,1.0000,0.0174,0.0018,-0.0003,0.0001,1.0000
60117,51917,5410EC379B55,,35.31,18.16,10.04,207.98,34.50,21.51,8.52,2.907,18.538,1.828,4.586,0.460,0.176,5.903,4.741,43.281,3.321,9.657,0.305,0.298,12.658,16.914,232.522,13.166,44.555,0.529,0.781,55.925,1.927,7.488,0.668,2.052,0.553,0.150,2.630,19.41,11.57,13.34,13.01,-70.16,29.71,13.10,-0.1590,0.7990,1.0000,0.1239,-0.0062,-0.0043,0.0291,-2.1297,3.3390,5.1791,1.0000,-0.0142,-0.0218,-0.0307,0.4806,-0.2220,-0.5307,-0.0930,1.0000,-0.0082,0.0416,1.0000,-0.0185,-1.5726,-0.0471,1.9307,1.0000,0.0622,-0.0028,1.0000,0.0173,0.0019,-0.0003,0.0001,1.0000
60117,52617,04A3E2DE53,,41.91,17.26,14.59,236.93,57.74,16.44,7.48,3.829,24.986,1.541,5.119,0.370,0.570,4.363,5.848,61.265,2.929,11.221,0.523,0.802,10.417,27.507,304.004,12.091,53.408,2.744,1.614,56.936,2.238,10.027,0.602,2.065,0.178,0.378,1.735,17.73,11.26,13.01,12.15,15.88,28.05,11.51,-0.1934,0.8653,1.0000,0.1180,-0.0086,-0.0126,-0.0188,-2.5701,3.7630,4.3547,1.0000,-0.0033,-0.0086,-0.0896,0.0425,-1.2964,-0.4306,-0.0843,1.0000,0.0157,-0.3092,1.0000,0.1104,-1.1004,-0.0769,1.0817,1.0000,0.0058,-0.0018,1.0000,0.0094,0.0009,-0.0001,-0.0002,1.0000
60117,52617,5410EC379918,,21.64,16.73,10.59,222.92,57.02,15.50,7.73,1.946,12.455,1.282,3.554,0.369,0.550,4.321,3.833,28.573,2.266,7.541,0.372,0.372,10.423,36.834,195.579,8.859,36.783,0.963,1.329,54.082,0.795,4.516,0.469,1.444,0.268,0.356,1.783,11.15,10.68,13.28,12.29,55.10,47.22,11.73,-0.1306,0.8322,1.0000,0.1196,-0.0118,-0.0112,-0.0469,-1.7957,3.5360,4.8673,1.0000,-0.0017,-0.0150,-0.0849,-0.7061,-1.7380,-0.8003,-0.1112,1.0000,0.0404,-0.1939,1.0000,0.0241,-1.2519,-0.0615,0.9094,1.0000,0.0350,0.0371,1.0000,0.0052,0.0008,0.0000,0.0000,1.0000
60117,52617,5410EC379919,,40.31,16.58,10.02,233.33,52.03,14.99,7.70,3.222,23.898,1.208,4.802,0.205,0.228,3.889,4.446,58.500,3.063,9.862,0.186,0.179,9.811,24.851,284.921,11.322,45.558,3.518,0.792,47.976,1.791,9.936,0.500,1.925,0.047,0.104,1.671,17.07,11.57,12.68,12.55,10.90,22.68,11.92,-0.1505,0.8609,1.0000,0.1105,-0.0236,-0.0230,0.0383,-2.0850,3.8224,4.2125,1.0000,-0.0060,-0.0138,-0.0097,-0.4226,-1.1257,-0.4970,-0.0685,1.0000,0.0442,-0.2638,1.0000,0.3472,-0.9579,-0.1037,1.1051,1.0000,0.1038,-0.0028,1.0000,0.0106,0.0008,-0.0001,0.0001,1.0000
60117,52617,5410EC379946,,34.49,13.57,10.32,244.86,62.91,16.15,7.14,1.692,21.328,1.618,5.089,0.403,0.221,4.081,2.378,54.728,3.220,10.759,0.481,0.295,9.459,16.253,297.265,12.362,50.627,2.528,0.896,48.612,0.792,8.367,0.614,1.998,0.194,0.127,1.611,14.31,10.82,13.04,12.16,17.46,20.74,11.71,-0.1433,0.8467,1.0000,0.1130,-0.0114,-0.0034,-0.0183,-2.3095,3.2001,4.6368,1.0000,-0.0042,-0.0049,-0.0295,0.1738,-1.3402,-0.5303,-0.0839,1.0000,0.0081,-0.2930,1.0000,0.6116,-1.0607,-0.0691,0.9973,1.0000,0.0838,-0.0021,1.0000,0.0130,0.0009,-0.0001,0.0000,1.0000
