"","Sens.IRR","Sens.IAQ","Sens.SO2","Sens.H2S","Sens.OZO","Sens.NO2","Sens.CMO","Izero.IRR","Izero.IAQ","Izero.SO2","Izero.H2S","Izero.OZO","Izero.NO2","Izero.CMO","n.IRR","n.IAQ","n.SO2","n.H2S","n.OZO","n.NO2","n.CMO","IRR.IRR","IAQ.IRR","SO2.IRR","H2S.IRR","OZO.IRR","NO2.IRR","CMO.IRR","IRR.IAQ","IAQ.IAQ","SO2.IAQ","H2S.IAQ","OZO.IAQ","NO2.IAQ","CMO.IAQ","IRR.SO2","IAQ.SO2","SO2.SO2","H2S.SO2","OZO.SO2","NO2.SO2","CMO.SO2","IRR.H2S","IAQ.H2S","SO2.H2S","H2S.H2S","OZO.H2S","NO2.H2S","CMO.H2S","IRR.OZO","IAQ.OZO","SO2.OZO","H2S.OZO","OZO.OZO","NO2.OZO","CMO.OZO","IRR.NO2","IAQ.NO2","SO2.NO2","H2S.NO2","OZO.NO2","NO2.NO2","CMO.NO2","IRR.CMO","IAQ.CMO","SO2.CMO","H2S.CMO","OZO.CMO","NO2.CMO","CMO.CMO"
"04A3E2BD29",41.8,4.25,9.98,227.12,22.23,21.38,8.17,3.49,65.001,11.468,41.823,0.426,2.077,24.598,17.66,12.76,15.02,13.12,75.64,14.7,13.35,1,4.31594547694312e-16,-8.88178419700125e-16,-3.12366553893759e-18,5.54874464409065e-33,3.46796540255666e-34,0,9.32237621338383e-17,1,-7.45790097070707e-16,-9.32237621338383e-17,1.65598667461066e-31,1.03499167163166e-32,0,0.310701672430372,-1.01085016834548,2.78395041450238,-0.350777752227299,6.69865208487169e-16,4.1866575530448e-17,0,0.477764504520857,2.69008070115462,-14.1583366230347,2.78395041450238,-3.40673349080319e-15,-2.129208431752e-16,0,-0.0462029185009882,0.0123610798356893,-0.183728690062587,0.123360861846053,1.18146849184803,-0.079040242104633,0,-0.414873911801815,-1.38536836845807,4.11307975891696,-0.715722592197039,-2.71253351043388,1.18146849184803,0,-0.0209742595193009,-0.982771364611759,-0.0346244645767356,0.00246268253666868,-3.46944695195361e-18,-1.73472347597681e-18,1
"04A3E2BE77",39.84,7.95,9.22,249.89,22.06,17.62,8.19,3.842,65.198,11.353,46.113,1.082,1.116,31.274,18.46,12.59,14.32,14.16,52.48,87.81,12.9,1,-2.42129224060881e-16,8.47940608736619e-17,-4.2397030436831e-17,-4.46317002015194e-16,-2.69201535537049e-17,0,-7.32826370108813e-17,1,-5.8626109608705e-16,2.93130548043525e-16,4.10583697912518e-16,-8.66426467599086e-17,0,0.477527831104541,-1.12845516496094,2.62768920669564,-0.299819338483972,-6.24346624024747e-16,1.01146241025356e-16,0,-0.758350842283439,3.36157024505646,-14.2654619342299,2.62768920669564,1.43578462415314e-15,-3.58946156038286e-16,0,-0.0475823534854525,0.0891589254453909,-0.0352744076903168,0.0974955994978827,1.12669178122737,-0.0517151527583364,0,-0.191919019698902,-1.80066694857907,3.50909786711145,-0.591472806951524,-2.76016952565082,1.12669178122737,0,-0.017611901143389,-0.990826199814059,-0.0123489305344343,9.01297397891193e-06,1.71737624121704e-16,-7.80625564189563e-18,1
"04A3E2DE81",43.03,19.1,10.8,238.44,32.73,26.15,8.77,17.751,213.008,13.339,44.364,4.625,1.787,62.256,17.22,12.24,12.99,13.44,35.84,15.46,12.68,1,0,0,0,0,0,0,3.48375052040366e-17,1,0,0,0,0,0,0.130463867869414,-0.930532571629713,2.10928896902406,-0.250794458416961,-2.36744905793316e-16,9.35188617123011e-17,0,1.51754526602679,0.778238617575385,-9.32959603889032,2.10928896902406,1.04714639281442e-15,-4.13643277239679e-16,0,-0.312300027159062,-0.0158028665977997,0.169007824113937,0.0668693121622993,0.999424031930398,0.000299827209579157,0,-0.176749007700467,-0.970467635101456,1.65365197304621,-0.315477721440581,-1.9198935653383,0.999424031930399,0,-0.00283685186638655,-0.985224792160684,-0.0206303858980025,0.000752952883272457,0,0,1
"5410EC3799B3",48.55,19.8,10.57,239.27,26.71,19.12,7.8,11.817,247.696,11.431,41.301,4.161,0.877,52.915,18.36,11.54,12.36,12.48,27.72,22.12,12.04,1,-5.97617023079078e-16,1.55027896727071e-16,-1.30996848422844e-16,-1.62260093755963e-17,-3.57553682047997e-17,0,-3.87070834341512e-17,1,-4.64485001209815e-16,1.93535417170756e-16,-4.24102802716561e-19,2.19876438915414e-17,0,0.211470274946902,-1.09065587676915,2.37816596316554,-0.283953016001965,-3.50471034593738e-16,2.86248420174715e-17,0,1.20292902054521,2.21319829789906,-11.5424285022239,2.37816596316554,1.6661448875629e-15,-2.86368652549873e-16,0,-0.315931637034231,0.0593206914767289,0.0895568033692831,0.0735477946759318,0.977633466911956,0.0109494948294139,0,0.0154213378033178,-1.73035250447764,2.93085137586353,-0.480222493722378,-1.99701188286105,0.977633466911956,0,-0.0038438303525798,-0.988159680759757,-0.0157428641346648,0.000379697977678958,1.16226472890446e-16,1.73472347597681e-18,1
"5410EC379AC0",37.73,11.74,10.83,234.85,33.04,19.01,8.04,9.382,193.679,12.347,45.203,3.847,0.544,45.922,14.4,11.36,12.17,13.07,18.31,108.92,11.95,1,1.94451882761215e-16,5.72490965240233e-16,-1.08646830434115e-17,4.31769914846425e-32,1.03616572614687e-17,0,3.91573949447678e-17,1,-1.56629579779071e-16,-1.56629579779071e-16,-2.22044604925031e-16,2.91491063680442e-17,0,-0.13074733650161,-1.01965580027491,2.37847927218344,-0.302304715494515,-3.56928632548574e-17,-1.01847758341925e-16,0,2.87999477971369,1.65582848367356,-10.8456276332293,2.37847927218344,8.27490820919891e-16,4.00815866383072e-16,0,-0.332465810410645,0.00355708813815142,0.233061243613451,0.0604624390072101,0.978742994108711,0.011353418731661,0,-0.468838331575735,-1.43723528587109,2.44621108152451,-0.450178681006624,-1.83250050786974,0.978742994108711,0,-0.00290898694835654,-0.985238480345829,-0.0218634095961794,0.000978839359674423,-2.77555756156289e-17,0,1
"5410EC379B55",35.31,18.16,10.04,207.98,34.5,21.51,8.52,16.914,232.522,13.166,44.555,0.529,0.781,55.925,19.41,11.57,13.34,13.01,-70.16,29.71,13.1,1,-2.08521956073655e-16,-5.40905954055061e-17,1.11022302462516e-16,-3.00263122174383e-33,0,0,0,1,-5.6650301899831e-16,7.08128773747887e-17,-3.14472347605793e-32,0,0,-0.292679449116492,-1.07532144485922,2.79088322271993,-0.345790431295,1.67118654339063e-16,9.13930140916748e-17,0,3.64551613491922,2.2301972950704,-14.4542632987888,2.79088322271993,-8.65524222687439e-16,-4.73333559282193e-16,0,-0.302666470148675,-0.151716375470078,0.164674955104727,0.0715275686094326,0.984414997704246,0.00807220298117482,0,-0.704205737809852,-1.27458940546772,3.39020921885572,-0.550437709178639,-1.90061003606759,0.984414997704246,0,0.000936873813368738,-0.985634313864569,-0.0208191794853563,0.000679496338235629,0,0,1
"04A3E2DE53",41.91,17.26,14.59,236.93,57.74,16.44,7.48,27.507,304.004,12.091,53.408,2.744,1.614,56.936,17.73,11.26,13.01,12.15,15.88,28.05,11.51,1,0,0,-3.47763569160811e-17,-2.06475841430312e-16,-1.79494606736155e-17,0,3.52553521166652e-17,1,0,3.52553521166652e-17,7.83166340167516e-17,-2.29606201277354e-17,0,-0.226006046750622,-0.866543219374286,2.05699776239783,-0.242725735962944,1.14543566741379e-16,-1.71299555694798e-16,0,3.55428853178493,0.0105357574092021,-8.95760815591385,2.05699776239783,-1.32417192395376e-15,7.86227079847547e-16,0,0.178147080717154,0.957099989664523,0.107723829092379,0.0718167741458385,1.01727608438553,-0.0159712345248529,0,-1.16807396296187,-2.09842901767481,1.45815540462357,-0.186596476518784,-1.10038754047983,1.01727608438553,0,0.000725597160849412,-0.99186397591955,-0.011273931626217,0.0004303239318936,-2.22044604925031e-16,1.11022302462516e-16,1
"5410EC379918",21.64,16.73,10.59,222.92,57.02,15.5,7.73,36.834,195.579,8.859,36.783,0.963,1.329,54.082,11.15,10.68,13.28,12.29,55.1,47.22,11.73,1,-4.94614033357535e-16,0,-1.61101412176911e-17,0,3.34622551708736e-18,0,-1.41953385469253e-16,1,0,-7.09766927346265e-17,0,-3.75978291995234e-17,0,-0.201415595035903,-0.9794756715782,2.39308349094979,-0.286212785517595,0,7.63344456513166e-17,0,2.77605012571825,1.23140193627257,-11.6478552754999,2.39308349094979,0,-2.32587906108105e-16,0,0.931517164396471,1.18193430268217,0.547981782168549,0.0473232987010098,1.03814105313845,-0.0419408985467936,0,-1.92854680999593,-2.24942542902715,1.78122349017272,-0.254170959334763,-0.94408547372411,1.03814105313845,0,-0.0382734790063879,-0.995891848056811,-0.00312574993253867,-0.000426160308068399,1.11022302462516e-16,0,1
"5410EC379919",40.31,16.58,10.02,233.33,52.03,14.99,7.7,24.851,284.921,11.322,45.558,3.518,0.792,47.976,17.07,11.57,12.68,12.55,10.9,22.68,11.92,1,-4.25984853573202e-16,-9.86049779516762e-16,7.0008115742945e-17,-7.56660061853377e-17,-2.11262700636581e-17,0,0,1,-3.05497951703726e-16,3.81872439629658e-17,-1.61383038663411e-16,-2.76204416239644e-17,0,-0.149466225459818,-0.820410509453597,1.87084176186523,-0.206728014686108,8.20187966665545e-17,8.7068266576686e-18,0,2.71462647474948,-0.36642072892672,-7.88092092185728,1.87084176186523,1.13602723132734e-16,2.48505956852856e-17,0,0.601745383866417,0.782856356715009,0.364691386624912,0.0269004160863429,1.05135381885035,-0.0464698387931855,0,-1.52665575564722,-2.03620361640106,0.571807372734914,-0.0337461243794161,-1.16185110521152,1.05135381885035,0,0.00221264081007455,-0.99101051201665,-0.0135261859382853,0.000694643546180471,1.11022302462516e-16,0,1
"5410EC379946",34.49,13.57,10.32,244.86,62.91,16.15,7.14,16.253,297.265,12.362,50.627,2.528,0.896,48.612,14.31,10.82,13.04,12.16,17.46,20.74,11.71,1,7.69152127906582e-16,-9.23201134952686e-16,1.15400141869086e-16,-1.11022302462516e-16,-6.23698713756248e-18,0,-1.38970728169814e-17,1,-1.11176582535851e-16,1.38970728169814e-17,2.19407055891151e-16,4.25819832468142e-18,0,-0.247191631991826,-1.01900485167683,2.10065674932611,-0.23737421267385,1.20764365992318e-16,1.50022593320353e-16,0,3.4556781592197,1.52482169625512,-9.74032521527531,2.10065674932611,-1.51849073932763e-15,-7.23655742960825e-16,0,-0.00671899045878905,0.948269971035096,0.28648284210005,0.0516464452993218,1.00814391762529,-0.00816596573276479,0,-1.0167079540671,-2.53280290907568,1.2694008032083,-0.158134445901733,-1.0054219290477,1.00814391762529,0,0.00220338087259597,-0.988125276454831,-0.0185422450474916,0.00119527369036654,-1.66533453693773e-16,0,1
