"","at0.temperature.raw","at1.temperature.raw","at2.temperature.raw","at3.temperature.raw","co.concentration.raw","h2s.concentration.raw","lps25h.pressure.raw","lps25h.temperature.raw","no2.concentration.raw","o3.concentration.raw","oxidizing_gases.concentration.raw","reducing_gases.concentration.raw","sht25.humidity.raw","sht25.temperature.raw","si1145.ir_intensity.raw","si1145.uv_intensity.raw","si1145.visible_light_intensity.raw","so2.concentration.raw","at0.temperature.hrf","at1.temperature.hrf","at2.temperature.hrf","at3.temperature.hrf","co.concentration.hrf","h2s.concentration.hrf","lps25h.pressure.hrf","lps25h.temperature.hrf","no2.concentration.hrf","o3.concentration.hrf","oxidizing_gases.concentration.hrf","reducing_gases.concentration.hrf","sht25.humidity.hrf","sht25.temperature.hrf","si1145.ir_intensity.hrf","si1145.uv_intensity.hrf","si1145.visible_light_intensity.hrf","so2.concentration.hrf"
"2017-02-03 00:00",-342.983870967742,-297.733870967742,-230.629032258065,-179.032258064516,2423.98387096774,7469.40322580645,101087.951612903,-681.862903225806,844.217741935484,-510.241935483871,14060.9919354839,1433.96774193548,4173.24193548387,-278.443548387097,531,7778,27956,3547.66129032258,-3.42983870967742,-2.97733870967742,-2.30629032258065,-1.79032258064516,NA,NA,1010.87951612903,-6.81862903225806,NA,NA,NA,NA,41.7324193548387,-2.78443548387097,NA,NA,NA,NA
"2017-02-03 01:00",-408.84,-364.166666666667,-297.573333333333,-246.16,2211.00666666667,6681.21333333333,101089.233333333,-756.206666666667,853.773333333333,-350.586666666667,13148.2066666667,1312.11333333333,4261.52666666667,-346.853333333333,531,7778,27956,3133.08666666667,-4.0884,-3.64166666666667,-2.97573333333333,-2.4616,NA,NA,1010.89233333333,-7.56206666666667,NA,NA,NA,NA,42.6152666666667,-3.46853333333333,NA,NA,NA,NA
"2017-02-03 02:00",-464.333333333333,-420.593333333333,-355.213333333333,-304.913333333333,1561.40666666667,6231.17333333333,101093.746666667,-819.713333333333,819.206666666667,-267.9,12173.3733333333,1194.3,4430.44666666667,-403.433333333333,531,7778,27956,2905.15333333333,-4.64333333333333,-4.20593333333333,-3.55213333333333,-3.04913333333333,NA,NA,1010.93746666667,-8.19713333333333,NA,NA,NA,NA,44.3044666666667,-4.03433333333333,NA,NA,NA,NA
"2017-02-03 03:00",-522.853333333333,-479.48,-414.593333333333,-364.7,1525.40666666667,5749.14,101114.5,-888.293333333333,830.393333333333,-193.98,11529.8666666667,1155.4,4450.50666666667,-463.48,531,7778,27956,2654.11333333333,-5.22853333333333,-4.7948,-4.14593333333333,-3.647,NA,NA,1011.145,-8.88293333333333,NA,NA,NA,NA,44.5050666666667,-4.6348,NA,NA,NA,NA
"2017-02-03 04:00",-569.533333333333,-526.22,-461.626666666667,-412.48,1317.25333333333,5429.42666666667,101125.573333333,-942.233333333333,827.333333333333,-132.386666666667,11058.9866666667,1182.52,4655.26666666667,-510.64,531,7778,27956,2524.06666666667,-5.69533333333333,-5.2622,-4.61626666666667,-4.1248,NA,NA,1011.25573333333,-9.42233333333333,NA,NA,NA,NA,46.5526666666667,-5.1064,NA,NA,NA,NA
"2017-02-03 05:00",-616.033333333333,-572.146666666667,-506.766666666667,-457.086666666667,1157.89333333333,5248.92666666667,101120.753333333,-992.053333333333,838.353333333333,-117.513333333333,10591.9066666667,1166.34666666667,4688.94666666667,-556.313333333333,531,7778,27956,2422.98666666667,-6.16033333333333,-5.72146666666667,-5.06766666666667,-4.57086666666667,NA,NA,1011.20753333333,-9.92053333333333,NA,NA,NA,NA,46.8894666666667,-5.56313333333333,NA,NA,NA,NA
"2017-02-03 06:00",-627.533333333333,-583.413333333333,-518.033333333333,-468.526666666667,1174.87333333333,5109.05333333333,101105.353333333,-1004.5,817.96,-76.3666666666667,10568.9866666667,1097.26,4791.09333333333,-567.2,531,7778,27956,2356.38,-6.27533333333333,-5.83413333333333,-5.18033333333333,-4.68526666666667,NA,NA,1011.05353333333,-10.045,NA,NA,NA,NA,47.9109333333333,-5.672,NA,NA,NA,NA
"2017-02-03 07:00",-644.766666666667,-600.193333333333,-534.166666666667,-484.18,1042.10666666667,4903.57333333333,101130.76,-1023.16666666667,834.893333333333,-22.1133333333334,10301.8,1087.96666666667,4908.82666666667,-584.433333333333,531,7778,27956,2245.41333333333,-6.44766666666667,-6.00193333333333,-5.34166666666667,-4.8418,NA,NA,1011.3076,-10.2316666666667,NA,NA,NA,NA,49.0882666666667,-5.84433333333333,NA,NA,NA,NA
"2017-02-03 08:00",-656.313333333333,-611.753333333333,-545.813333333333,-495.76,1099.02666666667,4962.47333333333,101192.56,-1036.00666666667,801.346666666667,-66.8133333333333,10330.26,1094.50666666667,4964.62666666667,-596.02,531,7778,27956,2282.97333333333,-6.56313333333333,-6.11753333333333,-5.45813333333333,-4.9576,NA,NA,1011.9256,-10.3600666666667,NA,NA,NA,NA,49.6462666666667,-5.9602,NA,NA,NA,NA
"2017-02-03 09:00",-672.166666666667,-627.033333333333,-560.493333333333,-510.16,1101.15333333333,4824.22,101211.886666667,-1052.78666666667,794.186666666667,-43.6133333333334,10186.3866666667,1072.91333333333,5020.8,-611.346666666667,531,7778,27956,2222.20666666667,-6.72166666666667,-6.27033333333333,-5.60493333333333,-5.1016,NA,NA,1012.11886666667,-10.5278666666667,NA,NA,NA,NA,50.208,-6.11346666666667,NA,NA,NA,NA
"2017-02-03 10:00",-674.82,-630.686666666667,-565.28,-515.72,1244.06,4888.85333333333,101210.806666667,-1057.58,770.426666666667,-98.1533333333333,10272.1533333333,1106.72,4951.12,-615.006666666667,531,7778,27956,2250.70666666667,-6.7482,-6.30686666666667,-5.6528,-5.1572,NA,NA,1012.10806666667,-10.5758,NA,NA,NA,NA,49.5112,-6.15006666666667,NA,NA,NA,NA
"2017-02-03 11:00",-662.313333333333,-618.12,-552.726666666667,-503.273333333333,1502.46,5137.58666666667,101248.26,-1043.61333333333,760.446666666667,-197.326666666667,10491.3533333333,1230.84,4734.74666666667,-602.5,531,7778,27956,2416.44,-6.62313333333333,-6.1812,-5.52726666666667,-5.03273333333333,NA,NA,1012.4826,-10.4361333333333,NA,NA,NA,NA,47.3474666666667,-6.025,NA,NA,NA,NA
"2017-02-03 12:00",-662.553333333333,-618.746666666667,-553.813333333333,-504.533333333333,1808.17333333333,5276.56,101282.926666667,-1044.54666666667,762.366666666667,-260.08,10654.7666666667,1320.3,4473.25333333333,-603.16,531,7778,27956,2477.18666666667,-6.62553333333333,-6.18746666666667,-5.53813333333333,-5.04533333333333,NA,NA,1012.82926666667,-10.4454666666667,NA,NA,NA,NA,44.7325333333333,-6.0316,NA,NA,NA,NA
"2017-02-03 13:00",-629.093333333333,-585.153333333333,-519.72,-470.153333333333,2284.62,5728.69333333333,101340.7,-1006.46666666667,763.533333333333,-353.92,11275.14,1421.42666666667,4244.48,-568.586666666667,531,7778,27956,2723.00666666667,-6.29093333333333,-5.85153333333333,-5.1972,-4.70153333333333,NA,NA,1013.407,-10.0646666666667,NA,NA,NA,NA,42.4448,-5.68586666666667,NA,NA,NA,NA
"2017-02-03 14:00",-518.8,-474.253333333334,-406.813333333333,-354.833333333333,2677.94,6903.66,101387.506666667,-878.073333333333,719.9,-567.613333333333,12639.4266666667,1365.55333333333,3932.84666666667,-454.62,531,7778,27956,3234.56666666667,-5.188,-4.74253333333333,-4.06813333333333,-3.54833333333333,NA,NA,1013.87506666667,-8.78073333333333,NA,NA,NA,NA,39.3284666666667,-4.5462,NA,NA,NA,NA
"2017-02-03 15:00",-320.273333333333,-275.386666666667,-207.833333333333,-155.726666666667,2312.46666666667,7505.73333333333,101408.246666667,-653.573333333333,792.546666666667,-678.06,13540.5866666667,1399.98666666667,3294.06,-254.373333333333,531,7778,27956,3382.14666666667,-3.20273333333333,-2.75386666666667,-2.07833333333333,-1.55726666666667,NA,NA,1014.08246666667,-6.53573333333333,NA,NA,NA,NA,32.9406,-2.54373333333333,NA,NA,NA,NA
"2017-02-03 16:00",-185.026666666667,-140.806666666667,-73.9733333333333,-22.2466666666667,2252.23333333333,8119.16,101419.66,-503.466666666667,857.833333333333,-759.533333333333,14406.9066666667,1370.5,2823.51333333333,-119.193333333333,531,7778,27956,3515.83333333333,-1.85026666666667,-1.40806666666667,-0.739733333333333,-0.222466666666667,NA,NA,1014.1966,-5.03466666666667,NA,NA,NA,NA,28.2351333333333,-1.19193333333333,NA,NA,NA,NA
"2017-02-03 17:00",-63.2133333333334,-19.1466666666667,47.9733333333333,99.8866666666666,2344.08666666667,8984.64,101395.966666667,-367.486666666667,921.726666666667,-828.14,15562.8266666667,1366.35333333333,2744.26,2.6666666666667,531,7778,27956,3837.53333333333,-0.632133333333333,-0.191466666666667,0.479733333333333,0.998866666666667,NA,NA,1013.95966666667,-3.67486666666667,NA,NA,NA,NA,27.4426,0.0266666666666666,NA,NA,NA,NA
"2017-02-03 18:00",9.71999999999998,52.8266666666667,118.273333333333,169.133333333333,2362.91333333333,9418.46666666667,101339.166666667,-288.913333333333,1005.68,-886.226666666667,15985.1866666667,1439.56,2656.28666666667,73.96,531,7778,27956,3985.7,0.0972,0.528266666666667,1.18273333333333,1.69133333333333,NA,NA,1013.39166666667,-2.88913333333333,NA,NA,NA,NA,26.5628666666667,0.7396,NA,NA,NA,NA
"2017-02-03 19:00",121.073333333333,164.826666666667,230.426666666667,281.28,2776.12,10274.4133333333,101286.226666667,-163.12,1045.38,-1033.38,17374.9666666667,1508.39333333333,2556.96,186.06,531,7778,27956,4291.65333333333,1.21073333333333,1.64826666666667,2.30426666666667,2.8128,NA,NA,1012.86226666667,-1.6312,NA,NA,NA,NA,25.5696,1.8606,NA,NA,NA,NA
"2017-02-03 20:00",132.626666666667,176.953333333333,243.873333333333,295.966666666667,2866,10337.3133333333,101258.146666667,-148.426666666667,1050.57333333333,-1037.45333333333,17332.1666666667,1477.77333333333,2584.23333333333,198.8,531,7778,27956,4295.16,1.32626666666667,1.76953333333333,2.43873333333333,2.95966666666667,NA,NA,1012.58146666667,-1.48426666666667,NA,NA,NA,NA,25.8423333333333,1.988,NA,NA,NA,NA
"2017-02-03 21:00",171.686666666667,215.446666666667,280.74,331.473333333333,2988.87333333333,10408.9933333333,101281.6,-107.733333333333,1095.08,-1062.42666666667,17567.4333333333,1567.76666666667,2486.16,235.753333333333,531,7778,27956,4308.16666666667,1.71686666666667,2.15446666666667,2.8074,3.31473333333333,NA,NA,1012.816,-1.07733333333333,NA,NA,NA,NA,24.8616,2.35753333333333,NA,NA,NA,NA
"2017-02-03 22:00",74.08,118.373333333333,184.28,235.273333333333,2848.31333333333,9146.49333333333,101336.533333333,-216.8,1111.68666666667,-845.88,15883.34,1593.21333333333,2545.57333333333,137.826666666667,531,7778,27956,3820.82666666667,0.7408,1.18373333333333,1.8428,2.35273333333333,NA,NA,1013.36533333333,-2.168,NA,NA,NA,NA,25.4557333333333,1.37826666666667,NA,NA,NA,NA
"2017-02-03 23:00",-64.3533333333334,-20.2933333333334,45.7133333333333,96.3266666666667,2847.90666666667,8032.2,101371.953333333,-372.013333333333,1051.72666666667,-687.493333333333,14283.8333333333,1596.58666666667,2689.95333333333,-0.659999999999996,531,7778,27956,3410.47333333333,-0.643533333333333,-0.202933333333333,0.457133333333333,0.963266666666667,NA,NA,1013.71953333333,-3.72013333333333,NA,NA,NA,NA,26.8995333333333,-0.00660000000000005,NA,NA,NA,NA
"2017-02-04 00:00",-89.2266666666667,-44.5533333333333,22.4,73.7866666666667,3804.72666666667,8611.72666666667,101404.306666667,-397.893333333333,979.486666666667,-812.14,15059.16,1737.94,2966.33333333333,-25,531,7778,27956,3840.22,-0.892266666666667,-0.445533333333333,0.224,0.737866666666667,NA,NA,1014.04306666667,-3.97893333333333,NA,NA,NA,NA,29.6633333333333,-0.25,NA,NA,NA,NA
"2017-02-04 01:00",-112.213333333333,-66.7666666666667,0.880000000000004,52.6866666666666,4001.36,8354.80666666667,101389.94,-422.253333333333,937.58,-757.946666666667,15093.8933333333,1696.48666666667,3162.12,-46.92,531,7778,27956,3748.58666666667,-1.12213333333333,-0.667666666666667,0.00879999999999998,0.526866666666667,NA,NA,1013.8994,-4.22253333333333,NA,NA,NA,NA,31.6212,-0.4692,NA,NA,NA,NA
"2017-02-04 02:00",-165.12,-118.88,-50.1333333333333,2.41333333333329,3388.06666666667,7723.05333333333,101361.04,-480.44,935.826666666667,-630.353333333333,13996.9133333333,1645.63333333333,3415.60666666667,-99.2066666666666,531,7778,27956,3507.12666666667,-1.6512,-1.1888,-0.501333333333333,0.0241333333333334,NA,NA,1013.6104,-4.8044,NA,NA,NA,NA,34.1560666666667,-0.992066666666667,NA,NA,NA,NA
"2017-02-04 03:00",-246.586666666667,-201.38,-133.466666666667,-80.9466666666667,2681.61333333333,6952.85333333333,101360.393333333,-572.393333333333,885.726666666667,-524.873333333333,12682.0666666667,1507.90666666667,3487.48666666667,-181.126666666667,531,7778,27956,3102.32666666667,-2.46586666666667,-2.0138,-1.33466666666667,-0.809466666666667,NA,NA,1013.60393333333,-5.72393333333333,NA,NA,NA,NA,34.8748666666667,-1.81126666666667,NA,NA,NA,NA
"2017-02-04 04:00",-277.866666666667,-231.6,-162.98,-110.36,3035.66666666667,6833.2,101353.26,-605.853333333333,890.793333333333,-495.573333333333,12716.52,1561.94,3524.94666666667,-212.16,531,7778,27956,3082.04666666667,-2.77866666666667,-2.316,-1.6298,-1.1036,NA,NA,1013.5326,-6.05853333333333,NA,NA,NA,NA,35.2494666666667,-2.1216,NA,NA,NA,NA
"2017-02-04 05:00",-319.566666666667,-271.886666666667,-202.026666666667,-148.793333333333,3189.12,7169.62666666667,101364.86,-650.566666666667,930.246666666667,-510.893333333333,12759.94,1752.37333333333,3764.67333333333,-252.993333333333,531,7778,27956,3412.70666666667,-3.19566666666667,-2.71886666666667,-2.02026666666667,-1.48793333333333,NA,NA,1013.6486,-6.50566666666667,NA,NA,NA,NA,37.6467333333333,-2.52993333333333,NA,NA,NA,NA
"2017-02-04 06:00",-362.446666666667,-314.56,-244.773333333333,-191.4,3072.42,7297.35333333333,101367.206666667,-698.566666666667,913.22,-505.98,12533.64,1730.56666666667,3923.94,-294.18,531,7778,27956,3527.14,-3.62446666666667,-3.1456,-2.44773333333333,-1.914,NA,NA,1013.67206666667,-6.98566666666667,NA,NA,NA,NA,39.2394,-2.9418,NA,NA,NA,NA
"2017-02-04 07:00",-400.36,-350.66,-279.273333333333,-225.413333333333,2939.48666666667,6401.34,101363.28,-738.606666666667,909.1,-319.56,12035.02,1651.58,4129.26666666667,-331.5,531,7778,27956,3051.56666666667,-4.0036,-3.5066,-2.79273333333333,-2.25413333333333,NA,NA,1013.6328,-7.38606666666667,NA,NA,NA,NA,41.2926666666667,-3.315,NA,NA,NA,NA
