Year,Month,Day,A
2018,1,1,23
2018,1,2,3
2018,1,3,2
2018,1,4,2
2018,1,5,4
2018,1,6,1
2018,1,7,0
2018,1,8,15
2018,1,9,10
2018,1,10,2
2018,1,11,0
2018,1,12,3
2018,1,13,9
2018,1,14,12
2018,1,15,12
2018,1,16,7
2018,1,17,2
2018,1,18,0
2018,1,19,9
2018,1,20,12
2018,1,21,18
2018,1,22,9
2018,1,23,4
2018,1,24,13
2018,1,25,11
2018,1,26,5
2018,1,27,7
2018,1,28,5
2018,1,29,5
2018,1,30,2
2018,1,31,16
2018,2,1,2
2018,2,2,2
2018,2,3,3
2018,2,4,1
2018,2,5,17
2018,2,6,10
2018,2,7,4
2018,2,8,1
2018,2,9,0
2018,2,10,10
2018,2,11,0
2018,2,12,0
2018,2,13,0
2018,2,14,0
2018,2,15,13
2018,2,16,4
2018,2,17,18
2018,2,18,19
2018,2,19,23
2018,2,20,4
2018,2,21,4
2018,2,22,13
2018,2,23,21
2018,2,24,11
2018,2,25,2
2018,2,26,10
2018,2,27,30
2018,2,28,15
2018,3,1,5
2018,3,2,3
2018,3,3,5
2018,3,4,3
2018,3,5,5
2018,3,6,5
2018,3,7,2
2018,3,8,0
2018,3,9,3
2018,3,10,22
2018,3,11,4
2018,3,12,0
2018,3,13,3
2018,3,14,11
2018,3,15,20
2018,3,16,40
2018,3,17,14
2018,3,18,33
2018,3,19,18
2018,3,20,4
2018,3,21,2
2018,3,22,5
2018,3,23,14
2018,3,24,20
2018,3,25,35
2018,3,26,22
2018,3,27,20
2018,3,28,2
2018,3,29,3
2018,3,30,3
2018,3,31,4
2018,4,1,3
2018,4,2,2
2018,4,3,2
2018,4,4,6
2018,4,5,4
2018,4,6,2
2018,4,7,2
2018,4,8,2
2018,4,9,12
2018,4,10,34
2018,4,11,22
2018,4,12,11
2018,4,13,9
2018,4,14,2
2018,4,15,6
2018,4,16,1
2018,4,17,1
2018,4,18,8
2018,4,19,1
2018,4,20,56
2018,4,21,28
2018,4,22,5
2018,4,23,5
2018,4,24,3
2018,4,25,3
2018,4,26,4
2018,4,27,4
2018,4,28,2
2018,4,29,0
2018,4,30,3
2018,5,1,1
2018,5,2,2
2018,5,3,0
2018,5,4,1
2018,5,5,27
2018,5,6,29
2018,5,7,31
2018,5,8,27
2018,5,9,29
2018,5,10,21
2018,5,11,28
2018,5,12,9
2018,5,13,12
2018,5,14,5
2018,5,15,2
2018,5,16,1
2018,5,17,15
2018,5,18,7
2018,5,19,0
2018,5,20,2
2018,5,21,1
2018,5,22,6
2018,5,23,18
2018,5,24,1
2018,5,25,2
2018,5,26,2
2018,5,27,5
2018,5,28,2
2018,5,29,2
2018,5,30,2
2018,5,31,9
2018,6,1,46
2018,6,2,25
2018,6,3,15
2018,6,4,4
2018,6,5,7
2018,6,6,5
2018,6,7,3
2018,6,8,6
2018,6,9,3
2018,6,10,0
2018,6,11,1
2018,6,12,2
2018,6,13,1
2018,6,14,3
2018,6,15,2
2018,6,16,1
2018,6,17,2
2018,6,18,33
2018,6,19,11
2018,6,20,6
2018,6,21,2
2018,6,22,1
2018,6,23,24
2018,6,24,11
2018,6,25,15
2018,6,26,33
2018,6,27,11
2018,6,28,5
2018,6,29,2
2018,6,30,2
2018,7,1,0
2018,7,2,0
2018,7,3,2
2018,7,4,5
2018,7,5,13
2018,7,6,8
2018,7,7,4
2018,7,8,2
2018,7,9,1
2018,7,10,6
2018,7,11,12
2018,7,12,10
2018,7,13,4
2018,7,14,4
2018,7,15,2
2018,7,16,14
2018,7,17,20
2018,7,18,1
2018,7,19,2
2018,7,20,15
2018,7,21,27
2018,7,22,6
2018,7,23,2
2018,7,24,24
2018,7,25,11
2018,7,26,2
2018,7,27,2
2018,7,28,11
2018,7,29,6
2018,7,30,2
2018,7,31,3
2018,8,1,3
2018,8,2,4
2018,8,3,13
2018,8,4,2
2018,8,5,4
2018,8,6,1
2018,8,7,13
2018,8,8,6
2018,8,9,4
2018,8,10,1
2018,8,11,8
2018,8,12,8
2018,8,13,6
2018,8,14,2
2018,8,15,30
2018,8,16,20
2018,8,17,13
2018,8,18,39
2018,8,19,7
2018,8,20,21
2018,8,21,10
2018,8,22,5
2018,8,23,2
2018,8,24,11
2018,8,25,6
2018,8,26,90
2018,8,27,56
2018,8,28,21
2018,8,29,5
2018,8,30,2
2018,8,31,4
2018,9,1,2
2018,9,2,2
2018,9,3,3
2018,9,4,7
2018,9,5,20
2018,9,6,7
2018,9,7,4
2018,9,8,2
2018,9,9,4
2018,9,10,23
2018,9,11,62
2018,9,12,9
2018,9,13,31
2018,9,14,24
2018,9,15,8
2018,9,16,4
2018,9,17,8
2018,9,18,12
2018,9,19,4
2018,9,20,1
2018,9,21,3
2018,9,22,30
2018,9,23,24
2018,9,24,9
2018,9,25,5
2018,9,26,10
2018,9,27,8
2018,9,28,7
2018,9,29,18
2018,9,30,3
2018,10,1,19
2018,10,2,4
2018,10,3,2
2018,10,4,4
2018,10,5,6
2018,10,6,6
2018,10,7,44
2018,10,8,53
2018,10,9,39
2018,10,10,33
2018,10,11,13
2018,10,12,10
2018,10,13,15
2018,10,14,8
2018,10,15,9
2018,10,16,4
2018,10,17,2
2018,10,18,0
2018,10,19,0
2018,10,20,0
2018,10,21,9
2018,10,22,6
2018,10,23,5
2018,10,24,1
2018,10,25,3
2018,10,26,4
2018,10,27,2
2018,10,28,0
2018,10,29,0
2018,10,30,0
2018,10,31,2
2018,11,1,7
2018,11,2,3
2018,11,3,0
2018,11,4,12
2018,11,5,44
2018,11,6,15
2018,11,7,12
2018,11,8,13
2018,11,9,15
2018,11,10,18
2018,11,11,7
2018,11,12,10
2018,11,13,2
2018,11,14,1
2018,11,15,0
2018,11,16,1
2018,11,17,0
2018,11,18,2
2018,11,19,1
2018,11,20,5
2018,11,21,2
2018,11,22,1
2018,11,23,0
2018,11,24,1
2018,11,25,3
2018,11,26,0
2018,11,27,2
2018,11,28,1
2018,11,29,1
2018,11,30,0
2018,12,1,6
2018,12,2,15
2018,12,3,21
2018,12,4,4
2018,12,5,3
2018,12,6,6
2018,12,7,9
2018,12,8,18
2018,12,9,8
2018,12,10,20
2018,12,11,12
2018,12,12,2
2018,12,13,1
2018,12,14,0
2018,12,15,0
2018,12,16,1
2018,12,17,2
2018,12,18,9
2018,12,19,5
2018,12,20,10
2018,12,21,1
2018,12,22,0
2018,12,23,0
2018,12,24,1
2018,12,25,2
2018,12,26,4
2018,12,27,1
2018,12,28,26
2018,12,29,20
2018,12,30,13
2018,12,31,14
